prep_time,energy,calories,fat,sat_fat,carbs,sugar,fiber,protein,cholesterol,sodium,rating,rating_count
30,3222,770,46,26,57,7,6,27,145,1150,3.6,4766
35,3807,910,54,19,55,20,4,40,150,1000,3.5,11362
35,4393,1050,41,17,120,18,25,29,65,840,3.6,2360
40,3222,770,33,15,71,9,3,49,160,1150,3.5,14513
30,2218,530,23,7,45,14,7,39,110,480,3.5,215
40,2887,690,43,11,51,12,10,29,115,260,3.5,2228
50,4100,980,60,27,80,9,8,33,145,1280,3.4,2392
35,3222,770,47,17,50,11,7,38,130,490,3.4,5260
45,3222,770,36,16,63,15,4,38,160,810,3.5,2985
35,3598,860,40,13,93,16,11,28,55,640,3.5,1840
20,638,38,15,59,8,9,24,67,439,3.4,5015
45,3054,730,44,16,49,20,9,33,220,720,3.5,950
25,2510,600,38,14,50,5,4,23,245,820,3.6,2851
25,3640,870,43,19,81,8,6,47,160,780,3.6,8
35,2720,650,25,10,64,24,9,40,150,630,3.5,11479
40,3347,800,53,16,76,26,13,47,175,720,3.4,494
35,3389,810,36,12,87,9,6,36,145,550,3.5,2111
30,3431,820,39,11,81,15,5,36,100,1920,3.5,7482
25,3473,830,56,12,62,6,4,19,40,910,3.4,3282
40,3054,730,34,15,58,13,9,45,175,520,3.5,11384
30,4602,1100,67,25,82,12,9,42,175,690,3.6,412
40,2678,640,24,9,60,10,4,40,155,490,3.4,3400
35,2301,550,23,10,46,18,6,41,105,560,3.4,198
35,2636,630,26,10,55,6,2,40,150,600,3.4,461
20,3012,720,39,18,53,15,8,34,135,830,3.5,1052
30,3264,780,37,14,93,10,8,28,55,670,3.4,1472
30,2176,520,24,12,51,7,4,21,90,1020,3.4,2261
40,3473,830,52,17,64,13,10,30,185,1110,3.4,2305
65,4979,1190,62,28,82,10,9,67,225,1160,3.3,761
25,2971,710,40,11,55,4,4,36,110,400,3.5,1949
35,3975,950,37,10,103,16,21,44,145,1950,3.5,371
35,2929,700,30,13,80,11,6,29,80,1230,3.5,1879
35,3682,880,49,26,70,19,13,44,185,700,3.6,1071
30,2636,630,41,10,58,14,4,36,100,1130,3.2,3162
35,3515,840,41,13,78,15,11,40,105,650,3.5,8975
30,2678,640,33,8,75,13,4,14,200,990,3.5,3893
30,2803,670,32,13,53,13,4,35,110,880,3.4,469
40,4393,1050,60,22,89,21,6,44,185,1150,3.5,9446
25,3891,930,50,19,82,11,7,36,115,1780,3.5,2278
25,3054,730,45,16,33,7,7,47,175,970,3.5,2212
30,3473,830,37,19,79,9,8,47,175,380,3.5,5966
35,3264,780,26,4.5,84,18,4,43,120,640,3.5,3244
50,2636,630,30,13,82,10,6,14,45,550,3.5,2610
30,2510,600,25,9,74,7,13,20,40,600,3.4,125
45,3682,880,53,19,67,3,3,36,115,590,3.5,937
40,5858,1400,85,37,98,23,7,56,265,2770,3.5,1515
20,3389,810,45,18,50,14,2,35,120,1480,3.6,6370
30,2636,630,28,9,75,13,9,24,40,710,3.4,2977
30,2385,570,16,6,60,14,3,39,135,520,3.5,65
35,3264,780,40,17,61,21,4,46,145,440,3.4,3554
30,3054,730,38,17,49,8,7,44,185,450,3.5,2682
20,4017,960,62,25,55,9,5,37,180,1040,3.5,3946
30,1883,450,15,4.5,35,6,6,40,130,380,3.4,156
35,3264,780,35,14,53,18,12,46,125,1000,3.5,5024
40,3389,810,31,6,103,13,24,27,20,600,3.4,1596
35,3515,840,40,13,93,14,8,27,55,1100,3.5,2842
40,3807,910,48,16,84,33,6,33,215,750,3.7,712
40,3473,830,37,8,79,9,6,38,270,2470,3.5,1758
30,2636,630,36,7,49,14,10,33,95,210,3.5,3114
35,4226,1010,58,21,81,15,6,41,155,1370,3.4,1178
30,3180,760,29,11,80,9,7,46,145,460,3.6,6687
50,3724,890,46,17,66,4,3,53,190,1260,3.6,1318
30,2803,670,48,11,53,14,10,36,110,560,3.5,2275
20,3473,830,40,17,86,39,3,32,130,440,3.6,6287
35,3347,800,31,14,101,8,14,22,40,1960,3.6,22
20,2929,700,38,16,48,9,6,39,195,2040,3.5,9430
30,2301,550,21,9,50,12,9,38,135,450,3.7,88
40,2803,670,33,15,49,7,5,45,175,390,3.9,27
30,2761,660,25,13,74,31,3,30,150,300,3.4,152
45,4058,970,48,16,88,13,7,44,130,1080,3.6,3792
35,3347,800,37,14,81,30,5,33,115,1350,3.5,6859
20,3222,770,47,22,46,7,7,36,100,1050,3.0,1462
40,2720,650,30,9,78,14,13,23,30,590,3.4,1203
30,2469,590,28,16,40,7,5,33,325,1470,3.5,1297
30,5104,1220,82,22,76,18,6,42,170,1210,3.4,709
30,3012,720,29,9,81,21,3,36,80,1040,3.5,5270
30,3222,770,44,19,41,8,4,42,180,1160,3.4,2076
30,3054,730,35,18,52,12,9,49,200,510,3.5,2524
35,3598,860,58,16,78,35,10,47,160,560,3.3,1206
30,3138,750,35,10,70,4,4,35,105,120,3.5,5873
30,3054,730,32,13,58,14,6,37,110,1230,3.5,2315
